0.02,50,5,7
0.02,51,5,7
0.02,52,5,7
0.02,57,5,7
0.02,57,5,7
0.02,59,5,7
0.02,63,6,7
0.02,65,6,7
0.02,69,6,8
0.02,70,7,8
0.02,69,6,8
0.02,71,7,8
0.02,75,7,9
0.02,78,7,9
0.02,81,8,9
0.02,83,8,9
0.02,85,8,9
0.02,85,8,9
0.02,82,8,9
0.02,82,8,9
0.02,80,8,9
0.02,85,8,10
0.02,91,9,10
0.02,95,9,10
0.02,95,9,10
0.02,97,9,10
0.02,96,9,10
0.02,99,9,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
0.02,100,10,10
